파일명,소분류1,점수1,소분류2,점수2,소분류3,점수3
미술관_가나아트파크_698.jpg,Traditional European-style storefront,0.2431,Open-air restaurant with ocean view,0.2386,Glass-fronted shop in urban setting,0.2216
미술관_간송미술관_190.jpg,Historic stone fountain centerpiece,0.2864,Golden Buddha statue in lush garden,0.2802,Japanese Zen garden with koi pond,0.2681
미술관_간송미술관_191.jpg,Historic stone fountain centerpiece,0.3071,Tiered fountain with floral motifs,0.289,Stone lanterns lining temple pathway,0.2726
미술관_간송미술관_192.jpg,Historic stone fountain centerpiece,0.3069,Tiered fountain with floral motifs,0.2796,Stone lanterns lining temple pathway,0.2699
미술관_경기도미술관_683.jpg,Colorful sailboats in calm waters,0.2038,Minimalist gallery with geometric design,0.2035,Gallery surrounded by lush landscapes,0.1946
미술관_경기도미술관_684.jpg,Decorative street flags fluttering,0.2253,Grand entrance arch with festival banners,0.2216,Reflection pool mirroring museum facade,0.2182
미술관_경기도미술관_685.jpg,Modern minimalist stage design,0.2187,Gallery surrounded by lush landscapes,0.2162,Art gallery with contemporary facade,0.2087
미술관_경원미술관_1158.jpg,Glass-walled restaurant overlooking mountains,0.2184,Open-air restaurant with ocean view,0.2106,Rooftop restaurant with city skyline,0.2024
미술관_경원미술관_1159.jpg,Traditional wooden temple gate entrance,0.2787,Traditional thatched roof dining pavilion,0.2649,Lotus pond reflecting temple facade,0.2611
미술관_경원미술관_1160.jpg,Skybridge connecting department stores,0.2461,Glass-fronted shop in urban setting,0.2434,Traditional European-style storefront,0.2297
미술관_고은사진미술관_1608.jpg,Vast exhibition hall with paintings,0.2514,Art gallery with contemporary facade,0.2363,Gallery surrounded by lush landscapes,0.2339
미술관_고은사진미술관_1609.jpg,Narrow lane with colorful murals,0.2202,Seasonal window display decorations,0.2116,Busy intersection with iconic skyscrapers,0.2111
미술관_고은사진미술관_1610.jpg,Vast exhibition hall with paintings,0.2377,Riverside gallery with reflection views,0.2319,Art gallery with contemporary facade,0.2297
미술관_구하우스미술관_689.jpg,Interactive educational displays,0.2094,Artistic animal habitat structures,0.1923,Gallery surrounded by lush landscapes,0.1835
미술관_국립현대미술관 과천_673.jpg,Reflection pool mirroring museum facade,0.2644,Wide-angle view of museum courtyard,0.2575,Art Deco theater facade,0.2545
미술관_국립현대미술관 서울_156.jpg,Wide-angle view of museum courtyard,0.3019,Courtyard view with stone pathways,0.2837,Modernist exterior with geometric lines,0.275
미술관_국제갤러리 부산지점_1635.jpg,Grand entrance arch with festival banners,0.2445,Reflection pool mirroring museum facade,0.2158,Traditional drumming stage backdrop,0.1985
미술관_국제갤러리 부산지점_1636.jpg,Vast exhibition hall with paintings,0.288,Gallery surrounded by lush landscapes,0.2804,Gallery with expansive skylights,0.2645
미술관_국제갤러리 부산지점_1637.jpg,Seaside tower with panoramic vistas,0.2671,Reflection in surrounding water bodies,0.2552,Clouds beneath glass-floor vantage point,0.2456
미술관_금련산갤러리_1638.jpg,Grand entrance arch with festival banners,0.2216,Decorative street flags fluttering,0.2104,Meandering forest path,0.1862
미술관_금련산갤러리_1639.jpg,Vast exhibition hall with paintings,0.1813,Art gallery with contemporary facade,0.1764,Outdoor sculpture garden with pathways,0.1741
미술관_금련산갤러리_1640.jpg,Outdoor sculpture garden with pathways,0.2156,Ancient stone-paved route,0.2055,Reflection in surrounding water bodies,0.2049
미술관_금정문화회관 금샘미술관_1620.jpg,Decorative street flags fluttering,0.2154,Grand entrance arch with festival banners,0.2139,Intricate floral floats in parade,0.1934
미술관_금정문화회관 금샘미술관_1621.jpg,Reflection pool mirroring museum facade,0.2166,Vast exhibition hall with paintings,0.2147,Minimalist gallery with geometric design,0.2102
미술관_금정문화회관 금샘미술관_1622.jpg,Decorative street flags fluttering,0.1979,Colorful lanterns illuminating the street,0.1976,Intricate floral floats in parade,0.1929
미술관_김홍도미술관_705.jpg,Sweeping gardens with symmetrical layout,0.2446,Intricate floral floats in parade,0.2381,Decorative street flags fluttering,0.2344
미술관_김홍도미술관_706.jpg,Seaside pub with panoramic ocean backdrop,0.2547,Open-air restaurant with ocean view,0.2478,Charming exterior with vintage signage,0.2436
미술관_대구간송미술관_1995.jpg,Glass-walled restaurant overlooking mountains,0.3017,Lotus pond reflecting temple facade,0.2619,Traditional architecture with mountain backdrop,0.2618
미술관_대구간송미술관_1996.jpg,Classic red velvet stage curtains,0.2226,Modern minimalist stage design,0.2126,Riverbank walking route,0.2101
미술관_대구간송미술관_1997.jpg,Reflective glass and steel structure,0.2549,Wide-angle view of stadium roof,0.2519,Aerial view of stadium landscape,0.2465
미술관_대구미술관_1992.jpg,Art gallery with contemporary facade,0.2599,Glass atrium with skylight ceiling,0.2588,Gallery with expansive skylights,0.2584
미술관_대구미술관_1993.jpg,Gallery surrounded by lush landscapes,0.251,Vast exhibition hall with paintings,0.2443,Gallery with expansive skylights,0.2221
미술관_대구미술관_1994.jpg,Gallery surrounded by lush landscapes,0.2715,Vast exhibition hall with paintings,0.2652,Riverside gallery with reflection views,0.263
미술관_대림미술관_188.jpg,Vast exhibition hall with paintings,0.2837,Gallery surrounded by lush landscapes,0.2496,Art gallery with contemporary facade,0.2484
미술관_대림미술관_189.jpg,Minimalist gallery with geometric design,0.2224,Vast exhibition hall with paintings,0.2223,Gallery surrounded by lush landscapes,0.2106
미술관_더리미미술관_1144.jpg,Glass-walled restaurant overlooking mountains,0.2659,Alfresco seating under string lights,0.24,Open-air restaurant with ocean view,0.2364
미술관_더리미미술관_1145.jpg,Gallery surrounded by lush landscapes,0.2627,Gallery with expansive skylights,0.2431,Minimalist gallery with geometric design,0.2413
미술관_디뮤지엄_181.jpg,Sky filled with vibrant fireworks,0.2176,Decorative street flags fluttering,0.2039,Gallery surrounded by lush landscapes,0.201
미술관_랄프깁슨 사진미술관_1629.jpg,Clouds beneath glass-floor vantage point,0.2348,Riverside gallery with reflection views,0.2196,Skybridge connecting department stores,0.2162
미술관_리움미술관_150.jpg,Reflection pool mirroring museum facade,0.2335,Riverside gallery with reflection views,0.23,Art gallery with contemporary facade,0.2281
미술관_리움미술관_152.jpg,Minimalist gallery with geometric design,0.2519,Gallery with expansive skylights,0.2214,Gallery surrounded by lush landscapes,0.2197
미술관_뮤지엄원_1615.jpg,Vast exhibition hall with paintings,0.2584,Glass atrium with natural light,0.2383,Gallery surrounded by lush landscapes,0.237
미술관_뮤지엄원_1616.jpg,Riverbank walking route,0.2075,Minimalist gallery with geometric design,0.2023,Meandering forest path,0.1924
미술관_미메시스아트뮤지엄_679.jpg,Gallery with expansive skylights,0.2838,Minimalist gallery with geometric design,0.2725,Vast exhibition hall with paintings,0.2701
미술관_부산시립미술관 (휴관중)_1605.jpg,Gallery surrounded by lush landscapes,0.2453,Riverside gallery with reflection views,0.2323,Minimalist gallery with geometric design,0.2177
미술관_부산시립미술관 이우환공간_1623.jpg,Modernist exterior with geometric lines,0.2658,Wide-angle view of museum courtyard,0.2643,Reflection pool mirroring museum facade,0.26
미술관_부산시립미술관 이우환공간_1624.jpg,Modern sculpture in open meadow,0.3075,Minimalist modern water feature,0.2578,Historic stone fountain centerpiece,0.257
미술관_부산시립미술관 이우환공간_1625.jpg,Icicles forming on frozen waterfall,0.2485,Minimalist modern water feature,0.229,Gallery surrounded by lush landscapes,0.2271
미술관_부산현대미술관_1611.jpg,Weathered market signs and banners,0.181,Rustic wooden market architecture,0.1794,Quiet market corners with old signage,0.1759
미술관_부산현대미술관_1612.jpg,Sculpture garden with lush greenery,0.2334,Stadium exterior with dramatic lighting,0.2302,Architectural details of stadium facade,0.2272
미술관_부평아트센터 꽃누리갤러리_1153.jpg,Art gallery with contemporary facade,0.2252,Minimalist gallery with geometric design,0.2159,Vast exhibition hall with paintings,0.2038
미술관_서면미술관_1617.jpg,Remote observatory in lush forest setting,0.1804,Telescopic silhouette against sunset,0.1727,Art gallery with contemporary facade,0.1698
미술관_서면미술관_1618.jpg,Palace reflection in lotus pond,0.1974,Starlit dome under a clear sky,0.177,Modern glass observatory in cityscape,0.1764
미술관_서울시립 북서울미술관_179.jpg,Modern minimalist stage design,0.2028,Grand entrance arch with festival banners,0.1992,Sunlit outdoor theater ruins,0.1963
미술관_서울시립 북서울미술관_180.jpg,Art gallery with contemporary facade,0.2434,Gallery surrounded by lush landscapes,0.2341,Vast exhibition hall with paintings,0.2325
미술관_서울시립 사진미술관_193.jpg,Reflection pool mirroring museum facade,0.2843,Modernist exterior with geometric lines,0.2834,Wide-angle view of museum courtyard,0.2816
미술관_서울시립 사진미술관_194.jpg,Classic red velvet stage curtains,0.2245,Modern minimalist stage design,0.199,Grand entrance arch with festival banners,0.1852
미술관_서울시립 사진미술관_195.jpg,Vast exhibition hall with paintings,0.2644,Art gallery with contemporary facade,0.2608,Minimalist gallery with geometric design,0.2603
미술관_서울시립미술관 서소문본관_159.jpg,Courtyard view with stone pathways,0.2371,Interior courtyard with natural light,0.2333,Historic courtyard with cobblestone paths,0.2288
미술관_서울시립미술관 서소문본관_160.jpg,Vast exhibition hall with paintings,0.2769,Gallery surrounded by lush landscapes,0.2677,Riverside gallery with reflection views,0.2511
미술관_서울시립미술관 서소문본관_161.jpg,Vast exhibition hall with paintings,0.2769,Gallery surrounded by lush landscapes,0.2677,Riverside gallery with reflection views,0.2511
미술관_서울시립미술관 서소문본관_162.jpg,Classic red velvet stage curtains,0.1962,Modern minimalist stage design,0.186,Decorative street flags fluttering,0.183
미술관_석모도갤러리_1168.jpg,Glass-walled restaurant overlooking mountains,0.1953,Open-air restaurant with ocean view,0.1917,Vibrant market under hanging lanterns,0.189
미술관_석파정 서울미술관_169.jpg,Decorative street flags fluttering,0.2258,Grand entrance arch with festival banners,0.2257,Palace reflection in lotus pond,0.2212
미술관_석파정 서울미술관_170.jpg,Weathered market signs and banners,0.2259,Artisan crafts and woven baskets display,0.2067,Open-air restaurant with ocean view,0.2053
미술관_석파정 서울미술관_171.jpg,Reflection pool mirroring museum facade,0.2351,Minimalist gallery with geometric design,0.2329,Art gallery with contemporary facade,0.2188
미술관_성남큐브미술관_701.jpg,Gallery surrounded by lush landscapes,0.2178,Vast exhibition hall with paintings,0.2123,Minimalist gallery with geometric design,0.201
미술관_송암미술관_1135.jpg,Golden Buddha statue in lush garden,0.2711,Bamboo forest surrounding secluded shrine,0.2284,Vast exhibition hall with paintings,0.2145
미술관_송암미술관_1136.jpg,Historic stone fountain centerpiece,0.2768,Fountain surrounded by lush gardens,0.2684,Tiered fountain with floral motifs,0.2565
미술관_수원시립미술관_674.jpg,Wide-angle view of museum courtyard,0.2506,Giant water slide under blue sky,0.2449,Sky-high drop tower against clouds,0.2434
미술관_수원시립미술관_675.jpg,Palace reflection in lotus pond,0.2642,autumn leaves along riverbank,0.2535,Serene pond with lily pads,0.2447
미술관_수원시립미술관_676.jpg,Tiered fountain with floral motifs,0.2837,Historic stone fountain centerpiece,0.2642,Fountain with colorful mosaic tiles,0.2408
미술관_스페인마을 갤러리_1151.jpg,Modern marina with luxury yachts,0.2189,Historic lighthouse overlooking harbor,0.2166,Courtyard view with stone pathways,0.2148
미술관_아모레퍼시픽미술관_175.jpg,Skybridge connecting department stores,0.2379,Riverside gallery with reflection views,0.2236,Seasonal window display decorations,0.2229
미술관_아트KMJ갤러리_1170.jpg,Forested hills from wooden lookout,0.2277,Seaside tower with panoramic vistas,0.2228,Traditional architecture with mountain backdrop,0.2179
미술관_양주시립장욱진미술관_680.jpg,Bamboo forest surrounding secluded shrine,0.2378,Forested hills from wooden lookout,0.2285,Temple courtyard with ancient bells,0.2254
미술관_양주시립장욱진미술관_681.jpg,Bridge crossing scenic trail,0.2817,Bridges over gentle flowing streams,0.2722,Seaside tower with panoramic vistas,0.2504
미술관_양주시립장욱진미술관_682.jpg,Wide-angle view of museum courtyard,0.2538,Lotus pond reflecting temple facade,0.2463,Reflection pool mirroring museum facade,0.2453
미술관_양평군립미술관_693.jpg,Historic wooden roller coaster structure,0.209,Twinkling lights on amusement rides,0.1877,Modernist exterior with geometric lines,0.1796
미술관_양평군립미술관_694.jpg,Colorful sailboats in calm waters,0.2278,Vast exhibition hall with paintings,0.2268,Gallery surrounded by lush landscapes,0.2238
미술관_양평군립미술관_695.jpg,Gallery surrounded by lush landscapes,0.2742,Vast exhibition hall with paintings,0.2711,Art gallery with contemporary facade,0.2504
미술관_예술의전당 한가람미술관_164.jpg,Vast exhibition hall with paintings,0.2007,Gallery surrounded by lush landscapes,0.1965,Grand entrance with ornamental pillars,0.1957
미술관_예술의전당 한가람미술관_165.jpg,Panoramic view from stadium seats,0.1895,Golden roofed palace under clear sky,0.1839,Minimalist gallery with geometric design,0.1829
미술관_오산시립미술관_708.jpg,Wide-angle view of museum courtyard,0.259,Reflection pool mirroring museum facade,0.2563,Golden roofed palace under clear sky,0.2463
미술관_오산시립미술관_710.jpg,Riverside gallery with reflection views,0.2814,Art gallery with contemporary facade,0.2791,Glass-fronted shop in urban setting,0.2774
미술관_우현문갤러리_1161.jpg,Modern minimalist stage design,0.27,Gallery with expansive skylights,0.2448,Minimalist gallery with geometric design,0.2378
미술관_우현문갤러리_1162.jpg,Gallery surrounded by lush landscapes,0.255,Vast exhibition hall with paintings,0.246,Riverside gallery with reflection views,0.2249
미술관_우현문갤러리_1163.jpg,Gallery surrounded by lush landscapes,0.2524,Vast exhibition hall with paintings,0.2509,Art gallery with contemporary facade,0.2284
미술관_유리섬_686.jpg,Modern minimalist stage design,0.2282,Vast exhibition hall with paintings,0.2262,Art gallery with contemporary facade,0.2261
미술관_유리섬_687.jpg,Grand entrance arch with festival banners,0.2145,Traditional European-style storefront,0.194,Decorative street flags fluttering,0.192
미술관_유리섬_688.jpg,Gallery surrounded by lush landscapes,0.2259,Vast exhibition hall with paintings,0.2178,Art gallery with contemporary facade,0.2127
미술관_전원미술관_1173.jpg,Outdoor seating with quaint tables,0.2274,Twisting street through medieval village,0.2223,Glass-fronted shop in urban setting,0.2155
미술관_전원미술관_1174.jpg,Rustic brick facade with ivy,0.2527,Traditional architecture with mountain backdrop,0.2308,Traditional thatched roof dining pavilion,0.2284
미술관_전원미술관_1175.jpg,Rustic brick facade with ivy,0.2564,Traditional architecture with mountain backdrop,0.251,Historical building with ornate facade,0.2396
미술관_정서진아트큐브_1155.jpg,Traditional drumming stage backdrop,0.2198,Classic red velvet stage curtains,0.2123,Sweeping gardens with symmetrical layout,0.2083
미술관_정서진아트큐브_1156.jpg,Intricate floral floats in parade,0.2418,Decorative street flags fluttering,0.2403,Art gallery with contemporary facade,0.2075
미술관_참살이미술관_1146.jpg,Artisan crafts and woven baskets display,0.2064,Vast exhibition hall with paintings,0.2061,Rustic wooden market architecture,0.1937
미술관_참살이미술관_1147.jpg,Vast exhibition hall with paintings,0.2563,Art gallery with contemporary facade,0.2427,Gallery surrounded by lush landscapes,0.2291
미술관_참살이미술관_1148.jpg,Open-air restaurant with ocean view,0.2319,Quaint village pub under starry night sky,0.2252,Golden roofed palace under clear sky,0.224
미술관_채플갤러리_1137.jpg,Vast exhibition hall with paintings,0.2714,Gallery surrounded by lush landscapes,0.2682,Riverside gallery with reflection views,0.2586
미술관_채플갤러리_1138.jpg,Gallery surrounded by lush landscapes,0.2587,Gallery with expansive skylights,0.2485,Riverside gallery with reflection views,0.2471
미술관_채플갤러리_1139.jpg,Gallery surrounded by lush landscapes,0.2609,Vast exhibition hall with paintings,0.26,Minimalist gallery with geometric design,0.2475
미술관_포레리움_704.jpg,Modernist exterior with geometric lines,0.2552,Wide-angle view of museum courtyard,0.2547,Modern glass observatory in cityscape,0.2463
미술관_한두뼘12갤러리_1176.jpg,Sunlit window display with pastries,0.2119,Open-air restaurant with ocean view,0.1888,Modern minimalist restaurant architecture,0.185
미술관_한새갤러리_1646.jpg,Alley with overhanging laundry lines,0.2703,Historic alley with vintage street lamps,0.2689,Sunlit alley with colorful hanging lanterns,0.2648
미술관_호암미술관_668.jpg,Traditional wooden temple gate entrance,0.3142,Grand entrance with ornamental pillars,0.2938,Ornate gate with intricate carvings,0.2918
미술관_호암미술관_669.jpg,Traditional wooden temple gate entrance,0.2916,Bamboo forest surrounding secluded shrine,0.2762,Temple courtyard with ancient bells,0.2711
미술관_호암미술관_670.jpg,Seasonal flower beds in bloom,0.2267,Riverbank walking route,0.2169,Tropical greenhouse with exotic plants,0.2138
박물관_강화역사박물관_1190.jpg,Vast exhibition hall with paintings,0.2511,Architectural details of gallery entrance,0.2509,Minimalist gallery with geometric design,0.2314
박물관_강화역사박물관_1191.jpg,Wide-angle view of museum courtyard,0.2442,Architectural details of stadium facade,0.2424,Stadium exterior with dramatic lighting,0.2418
박물관_강화자연사박물관_1199.jpg,Vast exhibition hall with paintings,0.2331,Gallery with expansive skylights,0.2274,Gallery surrounded by lush landscapes,0.2214
박물관_강화자연사박물관_1200.jpg,Vast exhibition hall with paintings,0.2649,Art gallery with contemporary facade,0.2504,Sunlit atrium with modern sculptures,0.247
박물관_강화전쟁박물관_1210.jpg,Vast exhibition hall with paintings,0.2393,Riverside gallery with reflection views,0.2313,Gallery surrounded by lush landscapes,0.2197
박물관_강화전쟁박물관_1212.jpg,Grand entrance with ornamental pillars,0.259,Grand entrance with ornamental pillars,0.259,Wide-angle view of museum courtyard,0.2422
박물관_검단선사박물관_1207.jpg,Wide-angle view of museum courtyard,0.2662,Gallery surrounded by lush landscapes,0.2557,Vast exhibition hall with paintings,0.2489
박물관_검단선사박물관_1208.jpg,Grand entrance arch with festival banners,0.2205,Decorative street flags fluttering,0.2187,Sky-high drop tower against clouds,0.1975
박물관_검단선사박물관_1209.jpg,Bamboo forest surrounding secluded shrine,0.2087,Outdoor sculpture garden with pathways,0.1972,Traditional wooden temple gate entrance,0.1965
박물관_경기도어린이박물관_723.jpg,Crenellated towers against a blue sky,0.2,Art gallery with contemporary facade,0.1973,Sweeping gardens with symmetrical layout,0.1965
박물관_경기도어린이박물관_724.jpg,Classic red velvet stage curtains,0.2339,Modern minimalist stage design,0.2072,Vast exhibition hall with paintings,0.2023
박물관_경기도어린이박물관_725.jpg,Grand entrance arch with festival banners,0.2325,Decorative street flags fluttering,0.2234,Intricate floral floats in parade,0.2077
박물관_경기북부어린이박물관_747.jpg,Grand theater entrance facade,0.2559,Stadium exterior with dramatic lighting,0.2484,Classic red velvet theater curtain,0.247
박물관_경기북부어린이박물관_748.jpg,Grand entrance arch with festival banners,0.2181,Decorative street flags fluttering,0.2016,Colorful lanterns illuminating the street,0.1971
박물관_경기북부어린이박물관_749.jpg,Classic red velvet stage curtains,0.2273,Modern minimalist stage design,0.1994,Majestic hall framed by cherry blossoms,0.1955
박물관_계양산성박물관_1213.jpg,Vast exhibition hall with paintings,0.2263,Gallery surrounded by lush landscapes,0.211,Art gallery with contemporary facade,0.1951
박물관_계양산성박물관_1214.jpg,Minimalist gallery with geometric design,0.1814,Decorative street flags fluttering,0.1804,Grand entrance arch with festival banners,0.1785
박물관_고양어린이박물관_730.jpg,Aquatic exhibits with underwater tunnels,0.2728,Interactive educational displays,0.2703,Safari-themed landscape views,0.2603
박물관_고양어린이박물관_731.jpg,Aquatic exhibits with underwater tunnels,0.2734,Vast exhibition hall with paintings,0.2717,Gallery surrounded by lush landscapes,0.2694
박물관_국립고궁박물관_208.jpg,Art gallery with contemporary facade,0.2441,Vast exhibition hall with paintings,0.2326,Wide-angle view of museum courtyard,0.232
박물관_국립고궁박물관_209.jpg,Vast exhibition hall with paintings,0.2645,Gallery surrounded by lush landscapes,0.2404,Art gallery with contemporary facade,0.2283
박물관_국립농업박물관_741.jpg,Golden roofed palace under clear sky,0.2052,Iconic entrance gate with flags,0.203,Decorative street flags fluttering,0.1957
박물관_국립농업박물관_742.jpg,Golden roofed palace under clear sky,0.2492,Seasonal flower beds in bloom,0.2479,Courtyard view with stone pathways,0.2376
박물관_국립농업박물관_743.jpg,Glass-walled restaurant overlooking mountains,0.2356,Modern minimalist restaurant architecture,0.2281,Gilded balcony and box seats,0.2276
박물관_국립민속박물관 본관_206.jpg,"Amusement park at night, neon glow",0.217,Iconic entrance gate with flags,0.2146,Blossoming cherry trees in spring,0.2122
박물관_국립세계문자박물관_1192.jpg,Traditional drumming stage backdrop,0.1917,Decorative street flags fluttering,0.1896,Architectural details of facade frieze,0.177
박물관_국립세계문자박물관_1193.jpg,Synchronized fountains in city square,0.2858,Minimalist modern water feature,0.273,Fountain surrounded by lush gardens,0.2707
박물관_국립세계문자박물관_1194.jpg,Panoramic skyline from hilltop park,0.271,Stadium against mountain backdrop,0.2465,Architectural details of stadium facade,0.2445
박물관_국립인천해양박물관_1186.jpg,Interactive educational displays,0.241,Giant water slide under blue sky,0.2276,Artistic animal habitat structures,0.2234
박물관_국립인천해양박물관_1188.jpg,Classic red velvet stage curtains,0.2172,Modern minimalist stage design,0.1929,Open-air amphitheater under moonlight,0.1809
박물관_국립중앙박물관_199.jpg,Golden Buddha statue in lush garden,0.3051,Lotus pond reflecting temple facade,0.2284,Bamboo forest surrounding secluded shrine,0.2168
박물관_국립중앙박물관_201.jpg,Bamboo forest surrounding secluded shrine,0.2295,Stone lanterns lining temple pathway,0.2141,Courtyard view with stone pathways,0.2127
박물관_국립항공박물관_223.jpg,Modern minimalist stage design,0.2092,Remote observatory in lush forest setting,0.2053,Snowy observatory with northern lights,0.2
박물관_국립항공박물관_224.jpg,Classic red velvet stage curtains,0.2402,Modern minimalist stage design,0.2189,Reflection pool mirroring museum facade,0.2011
박물관_국립해양박물관_1668.jpg,Wide-angle view of stadium roof,0.2922,Stadium exterior with dramatic lighting,0.2863,Architectural details of stadium facade,0.2808
박물관_국립해양박물관_1669.jpg,Aquatic exhibits with underwater tunnels,0.2757,Interactive educational displays,0.2464,Artistic animal habitat structures,0.2463
박물관_국립해양박물관_1670.jpg,Vast exhibition hall with paintings,0.2473,Colorful sailboats in calm waters,0.2409,Fishing boats anchored at dusk,0.2384
박물관_대한민국역사박물관_202.jpg,Skybridge connecting department stores,0.2059,Grand staircase in central atrium,0.2039,Wide-angle view of museum courtyard,0.1909
박물관_대한민국역사박물관_204.jpg,Riverside gallery with reflection views,0.2466,Gallery surrounded by lush landscapes,0.2337,Retro drive-in theater setting,0.2289
박물관_부산영화체험박물관_1662.jpg,Aquatic exhibits with underwater tunnels,0.2142,"Amusement park at night, neon glow",0.2009,Twinkling lights on amusement rides,0.1953
박물관_부산영화체험박물관_1663.jpg,Aquatic exhibits with underwater tunnels,0.2126,"Amusement park at night, neon glow",0.2002,Twinkling lights on amusement rides,0.1918
박물관_부산영화체험박물관_1664.jpg,Classic red velvet theater curtain,0.2531,Grand theater entrance facade,0.2096,Art deco cinema architecture,0.2053
박물관_부산장난감박물관_1656.jpg,Vast exhibition hall with paintings,0.2276,Gallery surrounded by lush landscapes,0.2159,Minimalist gallery with geometric design,0.2148
박물관_부산커피박물관_1672.jpg,Rustic wooden interior with chandeliers,0.2344,Traditional wooden pub with vintage signage,0.2274,Glass-fronted shop in urban setting,0.2228
박물관_부산커피박물관_1673.jpg,Historic stone fountain centerpiece,0.2324,Tiered fountain with floral motifs,0.2214,Cozy pub corner with rustic fireplace,0.2182
박물관_부평역사박물관_1180.jpg,Rooftop restaurant with city skyline,0.2699,Modern minimalist restaurant architecture,0.2682,Open-air restaurant with ocean view,0.2603
박물관_부평역사박물관_1181.jpg,Traditional wooden temple gate entrance,0.2827,Traditional architecture with mountain backdrop,0.2635,Traditional architecture with mountain backdrop,0.2635
박물관_삼성화재 모빌리티뮤지엄_714.jpg,Vast exhibition hall with paintings,0.257,Gallery with expansive skylights,0.2394,Wide-angle view of museum courtyard,0.2362
박물관_서대문자연사박물관_214.jpg,Aquatic exhibits with underwater tunnels,0.2577,Interactive educational displays,0.2479,Artistic animal habitat structures,0.2322
박물관_서대문자연사박물관_216.jpg,Architectural aviary dome,0.2434,Sculpture garden with lush greenery,0.2352,Fountain with colorful mosaic tiles,0.2319
박물관_서소문성지역사박물관_211.jpg,Blossoming cherry trees in spring,0.2962,Majestic hall framed by cherry blossoms,0.2701,Seasonal flower beds in bloom,0.2594
박물관_서소문성지역사박물관_212.jpg,"Amusement park at night, neon glow",0.1729,Twinkling lights on amusement rides,0.1677,Majestic hall framed by cherry blossoms,0.165
박물관_서울공예박물관_235.jpg,Courtyard view with stone pathways,0.2483,Courtyard view with stone pathways,0.2483,Golden roofed palace under clear sky,0.2437
박물관_서울공예박물관_236.jpg,Tiered fountain with floral motifs,0.247,Historic stone fountain centerpiece,0.2403,Minimalist modern water feature,0.2223
박물관_서울공예박물관_237.jpg,Ancient trees with twisted branches,0.2269,Interior courtyard with natural light,0.1797,Palm tree avenue under blue sky,0.1793
박물관_서울생활사박물관_226.jpg,Grand entrance arch with festival banners,0.2157,Majestic hall framed by cherry blossoms,0.2104,Traditional drumming stage backdrop,0.2093
박물관_서울생활사박물관_227.jpg,Grand entrance arch with festival banners,0.2363,Interactive educational displays,0.2135,Gabled rooftops against autumn foliage,0.2083
박물관_서울생활사박물관_228.jpg,Artistic animal habitat structures,0.2424,Naturalistic rock formations and waterfalls,0.2237,Gallery surrounded by lush landscapes,0.2109
박물관_서울역사박물관_197.jpg,Golden roofed palace under clear sky,0.2209,Vast exhibition hall with paintings,0.2202,Gallery surrounded by lush landscapes,0.2047
박물관_서울역사박물관_198.jpg,Classic red velvet stage curtains,0.2099,Sweeping gardens with symmetrical layout,0.1836,Modern minimalist stage design,0.1797
박물관_송파책박물관_239.jpg,Gallery with expansive skylights,0.262,Glass-fronted shop in urban setting,0.2533,Interior courtyard with natural light,0.2518
박물관_송파책박물관_240.jpg,Gallery with expansive skylights,0.2139,Modern minimalist stage design,0.2105,Minimalist gallery with geometric design,0.2043
박물관_수원광교박물관_751.jpg,Minimalist gallery with geometric design,0.2194,Reflection pool mirroring museum facade,0.2099,Art gallery with contemporary facade,0.207
박물관_수원박물관_753.jpg,Reflection pool mirroring museum facade,0.2445,Grand entrance with ornamental pillars,0.2335,Grand entrance with ornamental pillars,0.2335
박물관_수원박물관_754.jpg,Busy intersection with iconic skyscrapers,0.2473,Panoramic skyline from hilltop park,0.2426,Sunset silhouette over urban skyline,0.2416
박물관_수원박물관_755.jpg,Intricate carvings on temple walls,0.237,Traditional wooden temple gate entrance,0.2195,Lotus pond reflecting temple facade,0.216
박물관_수원화성박물관_733.jpg,Classic red velvet stage curtains,0.2191,Modern minimalist stage design,0.1936,Sweeping gardens with symmetrical layout,0.1803
박물관_수원화성박물관_734.jpg,Modern sculpture in open meadow,0.2148,Reflection pool mirroring museum facade,0.2118,Sculpture garden with lush greenery,0.2
박물관_여주곤충박물관_744.jpg,Gallery surrounded by lush landscapes,0.1838,Dome ceiling with intricate mosaics,0.1797,Vast exhibition hall with paintings,0.1781
박물관_영종역사관_1204.jpg,Vast exhibition hall with paintings,0.2733,Gallery surrounded by lush landscapes,0.2693,Art gallery with contemporary facade,0.2543
박물관_영종역사관_1206.jpg,Decorative street flags fluttering,0.2652,Intricate floral floats in parade,0.2054,Traditional drumming stage backdrop,0.1916
박물관_인천광역시립박물관_1177.jpg,Modern minimalist restaurant architecture,0.2072,Sunlit window display with pastries,0.2053,Outdoor seating with quaint tables,0.2039
박물관_인천광역시립박물관_1178.jpg,Vast exhibition hall with paintings,0.2316,Art gallery with contemporary facade,0.2192,Gallery surrounded by lush landscapes,0.2083
박물관_인천광역시립박물관_1179.jpg,Classic red velvet stage curtains,0.23,Modern minimalist stage design,0.1886,Twinkling lights on amusement rides,0.1881
박물관_인천어린이박물관_1216.jpg,Grand entrance with ornamental pillars,0.2553,Stadium entrance framed by trees,0.2432,Grand entrance with ornate facade,0.2428
박물관_인천어린이박물관_1217.jpg,Classic red velvet stage curtains,0.236,Modern minimalist stage design,0.1979,Meandering forest path,0.1869
